"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"2/26/2017","The Honda Classic","T37",".713","-.491","280.9","271.8","329","51.79","31' 11""","12.50","16.07","119","110.72","58"
"11/27/2016","(*) ISPS HANDA World Cup","T8","-","-","-","-","-","-","-","-","-","-","-","-"
"10/30/2016","WGC-HSBC Champions","T19","-","-","-","-","302","57.14","-","-","-","-","-","-"
"10/23/2016","CIMB Classic","T10","-","-","-","-","-","73.21","-","-","-","-","-","-"
"10/2/2016","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-"
"8/21/2016","Wyndham Championship","T5",".588",".377","311.1","291.4","346","60.71","36' 5""","27.27","9.09","74","114.11","98"
"8/14/2016","(*) Olympic Men's Golf","T5","-","-","-","-","-","-","-","-","-","-","-","-"
"7/31/2016","PGA Championship","T49","-.139",".362","288.6","280.0","343","57.14","21' 4""","23.21","12.50","106","-","-"
"7/17/2016","The Open Championship","T39","-","-","290.6","-","331","67.86","-","-","-","41","-","-"
"6/19/2016","U.S. Open","T32","-","-","287.3","-","322","69.64","-","-","-","39","-","-"
"6/5/2016","the Memorial Tournament","T52",".163",".504","287.1","284.9","319","82.14","19' 10""","10.71","5.36","47","112.48","86"
"5/15/2016","THE PLAYERS Championship","CUT","1.021","1.194","299.5","288.2","331","67.86","21' 0""","10.71","21.43","1,998","113.24","1,998"
"4/10/2016","Masters Tournament","T17","-","-","282.1","-","293","69.64","-","-","-","49","-","-"
"4/3/2016","Shell Houston Open","4","2.301","1.393","281.1","283.2","353","64.29","27' 10""","8.93","12.50","83","111.13","66"
"3/27/2016","WGC-Dell Match Play","3","-","-","-","-","-","-","-","-","-","-","-","-"
"3/6/2016","WGC-Cadillac Championship","T11",".893","-.118","293.9","291.7","356","41.07","28' 10""","17.86","23.21","101","112.25","21"
"8/16/2015","PGA Championship","CUT","1.116",".210","291.3","282.3","327","64.29","40' 7""","17.86","14.29","1,998","-","-"
"7/19/2015","The Open Championship","T40","-","-","291.3","-","336","79.69","-","-","-","67","-","-"
"3/15/2015","Valspar Championship","T44","1.370",".301","282.3","270.7","318","63.46","22' 1""","11.54","17.31","46","113.00","68"
"3/8/2015","Puerto Rico Open","T10","-","-","283.6","-","344","57.14","-","-","-","71","-","-"
"8/17/2014","Wyndham Championship","CUT",".160","-1.512","302.0","292.0","325","60.71","25' 10""","14.29","17.86","1,998","112.54","1,998"
"8/10/2014","PGA Championship","73","-1.874","-.545","292.3","279.6","330","58.93","25' 11""","21.82","7.27","88","-","-"
"7/20/2014","The Open Championship","CUT","-","-","284.5","-","303","50.00","-","-","-","1,998","-","-"
"3/9/2014","Puerto Rico Open","T24","-","-","292.8","-","315","69.64","-","-","-","40","-","-"
"2/9/2014","AT&T Pebble Beach","T64","-.246",".505","280.2","268.5","318","65.85","20' 10""","14.29","14.29","1,998","111.05","1,998"
"11/24/2013","(*) World Cup of Golf","53","-","-","-","-","-","-","-","-","-","-","-","-"
"8/11/2013","PGA Championship","T29","-","-","292.0","-","323","57.14","-","-","-","38","-","-"
