"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"6/28/2015","Travelers Championship","1","1.844","1.648","318.5","307.0","363","53.57","18' 3""","23.21","16.07","71","125.81","100"
"6/21/2015","U.S. Open","CUT","-","-","323.3","-","361","75.00","-","-","-","1,998","-","-"
"5/10/2015","THE PLAYERS Championship","T42","1.300",".068","305.6","293.2","343","58.93","34' 1""","13.21","11.32","59","122.31","106"
"5/3/2015","WGC-Cadillac Match Play","T17","-","-","-","-","-","-","-","-","-","-","-","-"
"4/12/2015","Masters Tournament","T38","-","-","299.6","-","344","64.29","-","-","-","35","-","-"
"3/8/2015","WGC-Cadillac Championship","3","2.194","1.782","325.1","314.5","376","46.43","27' 1""","10.91","20.00","56","123.85","108"
"2/22/2015","Northern Trust Open","T14",".547",".537","301.0","297.3","352","44.64","26' 9""","32.73","18.18","74","123.61","24"
"2/1/2015","Waste Management Phoenix","T2","3.281","2.218","309.3","310.2","349","67.86","17' 8""","8.93","14.29","24","123.43","38"
"1/12/2015","Hyundai T of C","10",".126","1.334","300.6","307.8","397","66.67","15' 7""","18.33","10.00","28","124.18","45"
"12/7/2014","(*) Hero World Challenge","T11","-","-","-","-","-","-","-","-","-","-","-","-"
"11/9/2014","WGC-HSBC Champions","1","-","-","-","-","337","66.67","-","-","-","-","-","-"
"10/15/2014","(*) PGA Grand Slam","2","-","-","-","-","-","-","-","-","-","-","-","-"
"9/28/2014","(*) Ryder Cup","-","-","-","-","-","-","-","-","-","-","-","-","-"
"9/14/2014","TOUR Championship","14",".468","1.289","316.9","310.5","363","55.36","27' 11""","17.86","21.43","14","122.81","48"
"9/7/2014","BMW Championship","2","3.867","1.554","322.9","327.1","373","55.36","31' 10""","14.55","20.00","43","124.25","41"
"9/1/2014","Deutsche Bank Champ","T29",".140","1.039","317.1","299.9","366","71.43","24' 4""","8.93","8.93","17","124.26","30"
"8/24/2014","The Barclays","T30","1.006",".687","296.3","296.6","338","57.14","25' 5""","14.29","21.43","61","123.76","35"
"8/10/2014","PGA Championship","T64","-.584","-.123","313.6","290.4","348","58.93","29' 3""","20.00","7.27","61","-","-"
"8/3/2014","WGC-Bridgestone Invit'l","T37","1.098","1.561","326.8","317.3","424","55.36","28' 7""","17.86","23.21","24","124.73","56"
"7/20/2014","The Open Championship","CUT","-","-","304.3","-","355","50.00","-","-","-","1,998","-","-"
"7/6/2014","The Greenbrier Classic","T16","2.744","1.765","322.9","307.7","365","75.00","16' 4""","12.50","10.71","14","123.00","96"
"6/22/2014","Travelers Championship","T31",".405",".537","312.3","293.3","346","60.71","21' 0""","16.07","10.71","69","123.28","126"
"6/15/2014","U.S. Open","CUT","-","-","298.0","-","322","64.29","-","-","-","1,998","-","-"
"6/1/2014","the Memorial Tournament","3","2.790","-.071","316.0","295.7","364","69.64","25' 6""","7.27","10.91","28","122.07","134"
"5/11/2014","THE PLAYERS Championship","T48",".273",".632","306.1","289.1","331","62.50","29' 10""","7.27","18.18","45","123.40","61"
"4/13/2014","Masters Tournament","1","-","-","305.6","-","343","71.43","-","-","-","14","-","-"
"3/23/2014","Arnold Palmer Invt'l","W/D","-8.197","-7.664","303.5","291.6","327","28.57","25' 10""","15.38","30.77","1,998","125.31","-"
"3/9/2014","WGC-Cadillac Championship","T2","1.569","1.580","312.0","314.5","359","37.50","29' 9""","25.00","19.64","66","124.50","116"
"2/23/2014","WGC-Accenture Match Play","T9","-","-","-","-","-","-","-","-","-","-","-","-"
"2/16/2014","Northern Trust Open","1","2.983","1.753","318.5","303.9","362","62.50","30' 9""","11.32","15.09","9","124.11","70"
"2/2/2014","Waste Management Phoenix","T2","2.427","1.961","334.1","324.2","364","66.07","35' 5""","12.50","14.29","14","123.86","26"
"1/26/2014","Farmers Insurance Open","T23","3.322","1.720","309.9","304.8","336","55.36","32' 0""","21.43","11.90","25","123.41","75"
"12/8/2013","(*) World Challenge","T3","-","-","-","-","-","-","-","-","-","-","-","-"
"11/3/2013","WGC-HSBC Champions","T8","-","-","-","-","362","57.14","-","-","-","-","-","-"
"10/27/2013","CIMB Classic","T31","-","-","-","-","-","67.86","-","-","-","-","-","-"
"9/15/2013","BMW Championship","T24","1.934","1.073","294.3","286.6","366","67.86","21' 2""","14.29","10.71","41","122.30","121"
"9/2/2013","Deutsche Bank Champ","T67",".046",".066","308.5","292.8","340","64.29","21' 5""","14.29","10.71","58","123.00","20"
"8/25/2013","The Barclays","T13","2.329",".858","301.1","292.3","352","73.21","19' 1""","3.57","7.14","32","123.93","113"
"8/11/2013","PGA Championship","CUT","-","-","255.3","-","297","60.71","-","-","-","1,998","-","-"
"8/4/2013","WGC-Bridgestone Invit'l","T27",".272","1.631","331.9","313.2","365","39.29","25' 2""","25.45","29.09","73","122.91","103"
"7/28/2013","RBC Canadian Open","T21","2.353",".786","315.8","302.9","384","44.64","29' 1""","21.43","28.57","61","124.94","18"
"7/21/2013","The Open Championship","T32","-","-","283.8","-","301","55.36","-","-","-","83","-","-"
"7/7/2013","The Greenbrier Classic","T30",".629","1.816","316.1","308.4","367","73.21","23' 1""","7.14","12.50","29","-","-"
"6/25/2013","(*) CVS Caremark Charity","T4","-","-","-","-","-","-","-","-","-","-","-","-"
"6/23/2013","Travelers Championship","4","2.093","1.688","327.0","296.7","381","69.64","30' 6""","14.55","7.27","36","123.28","43"
"6/16/2013","U.S. Open","T32","-","-","316.1","-","353","60.71","-","-","-","42","-","-"
"6/2/2013","the Memorial Tournament","T29","1.328",".036","297.1","291.0","353","75.00","17' 1""","3.57","10.71","22","122.54","111"
"5/12/2013","THE PLAYERS Championship","T37",".292",".767","295.3","284.9","337","62.50","37' 1""","14.55","9.09","41","123.86","79"
"5/5/2013","Wells Fargo Championship","CUT","1.826","1.224","283.3","292.5","332","39.29","24' 1""","25.00","28.57","1,998","121.98","1,998"
"4/28/2013","Zurich Classic of New Orl","T15",".803",".781","302.8","292.7","335","46.43","26' 11""","14.55","23.64","77","122.92","117"
"4/14/2013","Masters Tournament","T50","-","-","295.3","-","330","60.71","-","-","-","54","-","-"
"3/26/2013","(*) Tavistock Cup","T4","-","-","-","-","-","-","-","-","-","-","-","-"
"3/24/2013","Arnold Palmer Invt'l","T14","1.675","1.558","295.5","296.0","350","58.93","27' 1""","12.73","12.73","70","122.48","137"
"3/10/2013","WGC-Cadillac Championship","T18",".788",".161","309.3","298.4","355","48.21","43' 4""","21.82","16.36","52","122.01","47"
"2/24/2013","WGC-Accenture Match Play","T9","-","-","-","-","-","-","-","-","-","-","-","-"
"2/17/2013","Northern Trust Open","CUT","-2.008",".140","308.0","289.4","340","46.43","27' 9""","17.86","25.00","1,998","122.34","1,998"
"2/3/2013","Waste Management Phoenix","15","1.278","1.003","312.1","315.5","375","58.93","35' 1""","16.07","12.50","54","122.48","141"
"1/7/2013","Hyundai T of C","T4","1.932","1.219","280.8","303.7","396","53.33","16' 9""","24.44","20.00","30","122.42","-"
"12/2/2012","(*) World Challenge","T9","-","-","-","-","-","-","-","-","-","-","-","-"
"11/4/2012","(*) WGC-HSBC Champions","33","-","-","-","-","-","-","-","-","-","-","-","-"
"10/24/2012","(*) PGA Grand Slam","T3","-","-","-","-","-","-","-","-","-","-","-","-"
