"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"9/11/2016","BMW Championship","T20","-.544","66.67","12' 2""","68.18","100.00","64.29","-","33.33","60.00","100.00"
"9/5/2016","Deutsche Bank Champ","CUT",".911","60.00","3' 5""","64.29","-","55.56",".00","100.00","75.00","66.67"
"8/28/2016","The Barclays","T13",".033","83.33","5' 10""","44.44","50.00","33.33",".00","25.00","75.00","50.00"
"8/14/2016","(*) Olympic Men's Golf","T8","-","-","-","-","-","-","-","-","-","-"
"8/7/2016","Travelers Championship","T25","-.336","50.00","33' 4""","52.63","100.00","44.44","20.00","100.00","42.86","75.00"
"7/31/2016","PGA Championship","T60",".022","37.50","10' 1""","47.62","100.00","33.33","16.67","75.00","50.00","100.00"
"7/17/2016","The Open Championship","T39","-","28.57","-","39.29","-","-","-","-","-","-"
"7/3/2016","WGC-Bridgestone Invit'l","T14",".600","53.85","6' 6""","60.00","100.00","50.00",".00","57.14","54.55","88.89"
"6/19/2016","U.S. Open","T51","-","40.00","-","36.00","-","-","-","-","-","-"
"6/5/2016","the Memorial Tournament","T65","-.533","37.50","13' 2""","40.74","100.00","58.33","25.00","-","25.00","100.00"
"5/15/2016","THE PLAYERS Championship","T43","-.586","40.00","13' 10""","54.17","60.00","44.44","25.00","33.33","57.14","85.71"
"4/10/2016","Masters Tournament","T37","-","36.36","-","50.00","-","-","-","-","-","-"
"3/27/2016","WGC-Dell Match Play","T28","-","-","-","-","-","-","-","-","-","-"
"3/6/2016","WGC-Cadillac Championship","2",".706","66.67","5' 1""","50.00",".00","50.00","50.00","50.00","40.00","60.00"
"2/21/2016","Northern Trust Open","1",".094","50.00","6' 8""","76.19","100.00","60.00","100.00","40.00","81.82","100.00"
"2/14/2016","AT&T Pebble Beach","T70","-1.802","66.67","4' 0""","57.89","60.00","40.00",".00","50.00","60.00","-"
"2/7/2016","Waste Management Phoenix","T14",".194","42.86","11' 7""","42.11","100.00","33.33","20.00",".00","77.78",".00"
"1/10/2016","Hyundai T of C","T10",".073","37.50","8' 1""","63.64","100.00","75.00","40.00","100.00","50.00","100.00"
"12/6/2015","(*) Hero World Challenge","1","-","-","-","-","-","-","-","-","-","-"
"11/8/2015","WGC-HSBC Champions","T35","-","100.00","-","63.16","-","-","-","-","-","-"
"10/11/2015","(*) Presidents Cup","1","-","-","-","-","-","-","-","-","-","-"
"9/27/2015","TOUR Championship","T5",".055","66.67","7' 5""","68.97","66.67","90.00","50.00","50.00","63.64","100.00"
"9/20/2015","BMW Championship","T10","-.350",".00","10' 0""","46.67","100.00","50.00","50.00","66.67","42.86","50.00"
"9/7/2015","Deutsche Bank Champ","T29",".514","33.33","9' 1""","62.50","100.00","63.64","33.33","80.00","60.00","66.67"
"8/30/2015","The Barclays","3",".155","20.00","10' 1""","72.22","100.00","50.00","60.00","50.00","71.43","100.00"
"8/16/2015","PGA Championship","T21",".792","60.00","6' 0""","47.37","100.00","33.33","14.29",".00","75.00","100.00"
"8/9/2015","WGC-Bridgestone Invit'l","2","-.497",".00","17' 0""","60.00","100.00","60.00","33.33","100.00","66.67","50.00"
"7/26/2015","RBC Canadian Open","2",".133","60.00","14' 8""","35.29","-","33.33","16.67","50.00","40.00","50.00"
