"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"8/10/2014","PGA Championship","T40",".936","33.33","9' 3""","65.38","100.00","66.67","50.00","50.00","64.29","100.00"
"8/3/2014","WGC-Bridgestone Invit'l","65","-.618","44.44","9' 8""","48.72","-","50.00",".00","55.56","64.71","75.00"
"7/20/2014","The Open Championship","T26","-","46.15","-","51.72","-","-","-","-","-","-"
"7/13/2014","John Deere Classic","1",".591","100.00","7' 7""","66.67","100.00","66.67",".00",".00","100.00","100.00"
"7/6/2014","The Greenbrier Classic","CUT","-1.413","100.00","7' 2""","62.50","100.00","25.00","50.00","-","50.00","75.00"
"6/29/2014","Quicken Loans National","CUT","-.020",".00","20' 1""","53.85","66.67","66.67","25.00","33.33","100.00","50.00"
"6/22/2014","Travelers Championship","T42",".313","66.67","4' 6""","60.87","100.00","50.00","25.00","33.33","66.67","85.71"
"6/8/2014","FedEx St. Jude Classic","T6","-.028","100.00","7' 0""","73.08","100.00","87.50","100.00","50.00","75.00","88.89"
"6/1/2014","the Memorial Tournament","CUT","-1.020","80.00","5' 0""","58.82","100.00","50.00",".00","66.67","50.00","100.00"
"5/25/2014","Crowne Plaza Invitational","T30",".787","66.67","5' 1""","63.16","100.00","57.14","33.33","60.00","80.00","-"
"5/18/2014","HP Byron Nelson Champ","T29",".341","50.00","5' 3""","58.33","100.00","50.00",".00","50.00","60.00","87.50"
"5/11/2014","THE PLAYERS Championship","CUT",".297",".00","18' 5""","50.00","100.00","50.00",".00","40.00","60.00","100.00"
"5/4/2014","Wells Fargo Championship","T65","-.270","66.67","11' 10""","62.50","66.67","66.67","14.29","40.00","90.91","77.78"
"4/20/2014","RBC Heritage","T7","-.160","57.14","7' 5""","76.67","100.00","100.00","50.00","33.33","85.71","100.00"
"4/6/2014","Shell Houston Open","T58",".248","50.00","8' 9""","48.15","100.00","25.00",".00","40.00","83.33","100.00"
"3/30/2014","Valero Texas Open","T16",".004","50.00","9' 8""","79.17","100.00","87.50","-","66.67","76.92","100.00"
"3/23/2014","Arnold Palmer Invt'l","CUT","-.001","33.33","5' 6""","45.45","83.33","-",".00","-","40.00","100.00"
"3/16/2014","Valspar Championship","T25",".007","33.33","9' 6""","66.67","100.00","66.67","50.00","33.33","58.33","100.00"
"3/2/2014","The Honda Classic","T58","-.146","37.50","7' 6""","55.88","100.00","50.00","33.33","40.00","64.71","80.00"
"2/16/2014","Northern Trust Open","T3",".683","57.14","8' 0""","65.63","100.00","45.45",".00","66.67","72.22","75.00"
"2/9/2014","AT&T Pebble Beach","CUT","-1.233","25.00","21' 10""","50.00","100.00","50.00",".00","25.00","66.67","100.00"
"2/2/2014","Waste Management Phoenix","CUT",".386","40.00","3' 8""","46.67","100.00",".00",".00","60.00","42.86","100.00"
"1/19/2014","Humana Challenge","T82","-.202","57.14","8' 9""","50.00","100.00","50.00","66.67","100.00","75.00",".00"
"1/12/2014","Sony Open in Hawaii","T32","-.192","50.00","12' 1""","64.00","100.00","41.67","25.00","50.00","90.00","50.00"
"11/17/2013","OHL Classic at Mayakoba","CUT","-","50.00","-","62.50","100.00","-","-","-","-","-"
"11/10/2013","The McGladrey Classic","T10",".307","33.33","8' 11""","55.56","100.00","40.00","14.29","50.00","87.50","100.00"
"10/20/2013","Shriners Hospitals","T48",".102","66.67","13' 6""","47.06","100.00",".00","20.00","33.33","62.50","100.00"
"10/13/2013","Frys.com Open","T7",".232","66.67","9' 6""","65.00","100.00","60.00","40.00","33.33","85.71","80.00"
"9/2/2013","Deutsche Bank Champ","CUT","1.491","100.00","6' 1""","60.00","100.00","50.00","25.00","80.00","100.00","50.00"
"8/25/2013","The Barclays","CUT","-1.571","40.00","11' 2""","55.00","100.00","50.00","66.67","33.33","33.33","100.00"
"8/18/2013","Wyndham Championship","T3",".691","100.00","2' 5""","80.95","83.33","66.67","100.00","-","78.57","80.00"
"8/4/2013","Reno-Tahoe Open","T11","-","-","-","-","-","-","-","-","-","-"
"7/28/2013","RBC Canadian Open","CUT",".737","40.00","8' 7""","55.56","100.00","50.00",".00","66.67","25.00","87.50"
"7/21/2013","Sanderson Farms Champ.","T40",".231","33.33","14' 6""","68.18","87.50","60.00","100.00","50.00","58.33","100.00"
"7/14/2013","John Deere Classic","CUT","-.137","50.00","12' 5""","50.00","66.67","60.00","33.33","25.00","60.00","100.00"
"7/7/2013","The Greenbrier Classic","T65",".770","50.00","5' 1""","62.50","100.00","70.00",".00",".00","76.92","62.50"
