"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"10/25/2015","Shriners Hospitals","T56","-.430",".254","301.4","296.8","329","55.36","19' 2""","14.29","21.43","87","111.82","47"
"10/18/2015","Frys.com Open","CUT","-1.050","-.015","301.8","293.3","319","42.86","30' 0""","32.14","14.29","1,998","112.08","1,998"
"9/20/2015","BMW Championship","T53","-.365",".312","286.0","277.7","342","71.43","28' 8""","10.91","7.27","47","111.92","46"
"9/7/2015","Deutsche Bank Champ","T12","-.505",".645","300.4","285.8","333","66.07","28' 3""","12.50","7.14","53","109.48","68"
"8/30/2015","The Barclays","T30","1.207",".138","284.1","281.0","375","58.93","23' 1""","8.93","19.64","96","110.42","12"
"8/23/2015","Wyndham Championship","CUT","-1.508","-.371","288.8","282.3","336","50.00","22' 9""","32.14","10.71","1,998","110.04","1,998"
"8/16/2015","PGA Championship","CUT","-2.176","-.211","291.3","283.6","324","67.86","26' 1""","17.86","7.14","1,998","-","-"
"7/26/2015","RBC Canadian Open","T34",".599",".630","315.4","307.6","373","62.50","26' 3""","14.29","5.36","12","111.22","50"
"7/19/2015","The Open Championship","CUT","-","-","308.8","-","323","84.38","-","-","-","1,998","-","-"
"7/12/2015","John Deere Classic","T24","2.169",".873","279.9","282.0","341","83.93","24' 1""","5.36","8.93","36","110.90","71"
"6/28/2015","Travelers Championship","3","2.211",".690","291.3","280.8","335","78.57","29' 0""","5.36","8.93","35","109.94","58"
"6/21/2015","U.S. Open","CUT","-","-","302.5","-","322","89.29","-","-","-","1,998","-","-"
"6/14/2015","FedEx St. Jude Classic","CUT","-1.183",".700","300.3","292.6","339","50.00","24' 2""","17.86","7.14","1,998","111.41","1,998"
"5/31/2015","AT&T Byron Nelson","T39","2.135",".548","287.0","284.0","313","49.06","16' 2""","28.57","14.29","108","110.18","74"
"5/24/2015","Crowne Plaza Invitational","T10","2.261",".079","275.8","273.0","318","57.14","22' 4""","7.14","23.21","88","109.22","100"
"5/17/2015","Wells Fargo Championship","CUT","-2.112","-.344","293.3","284.0","310","50.00","31' 2""","11.11","25.93","1,998","110.23","1,998"
"5/10/2015","THE PLAYERS Championship","T8",".245",".662","286.6","285.8","325","62.50","23' 8""","21.43","8.93","79","110.63","21"
"4/19/2015","RBC Heritage","T44","-.004",".387","281.6","270.2","335","62.50","22' 4""","10.71","14.29","84","110.13","36"
"4/12/2015","Masters Tournament","CUT","-","-","284.5","-","296","71.43","-","-","-","1,998","-","-"
"4/5/2015","Shell Houston Open","CUT","-1.203","-.203","283.3","283.6","315","64.29","32' 8""","3.57","14.29","1,998","110.69","1,998"
"3/29/2015","Valero Texas Open","CUT",".521",".165","281.5","284.5","335","60.71","22' 2""","7.14","17.86","1,998","109.72","1,998"
"3/22/2015","Arnold Palmer Invt'l","CUT","-1.726","-1.495","288.5","281.6","313","60.71","22' 11""","7.14","14.29","1,998","109.71","1,998"
"3/15/2015","Valspar Championship","CUT","-1.362","-.452","268.0","269.0","316","65.38","27' 3""","11.54","11.54","1,998","109.29","1,998"
"3/1/2015","The Honda Classic","T11","1.707","1.198","273.4","271.9","329","76.79","28' 4""","8.93","5.36","61","110.85","60"
"2/22/2015","Northern Trust Open","CUT","-2.554","-.762","281.3","284.7","313","39.29","18' 1""","17.86","39.29","1,998","108.68","1,998"
"2/8/2015","Farmers Insurance Open","T32",".510",".935","293.5","289.7","329","57.14","22' 3""","14.29","7.14","48","110.14","31"
"2/1/2015","Waste Management Phoenix","T66","-1.809",".263","286.6","286.5","327","67.86","29' 4""","8.93","12.50","63","110.30","43"
"1/18/2015","Sony Open in Hawaii","T13",".222","-.051","303.4","295.1","353","46.43","19' 5""","14.55","27.27","71","110.06","8"
"1/12/2015","Hyundai T of C","T17","-.078",".704","273.9","293.8","389","76.67","8' 6""","10.00","11.67","22","109.79","12"
"11/16/2014","OHL Classic at Mayakoba","CUT","-","-","288.5","-","307","46.43","-","-","-","1,998","-","-"
"10/26/2014","The McGladrey Classic","T41","1.325",".403","279.8","282.1","314","67.86","18' 3""","12.73","10.91","102","109.79","91"
"9/7/2014","BMW Championship","T43","-1.438",".092","300.5","295.4","353","58.93","22' 11""","23.21","14.29","74","110.36","50"
"9/1/2014","Deutsche Bank Champ","T65","-.956",".028","300.4","284.8","319","67.86","25' 2""","3.64","20.00","56","110.26","53"
"8/24/2014","The Barclays","T57",".442","-.149","275.8","278.1","312","62.50","26' 1""","12.73","16.36","81","110.51","53"
"8/17/2014","Wyndham Championship","CUT","-.670",".012","287.3","284.1","318","53.57","22' 1""","14.29","32.14","1,998","109.68","1,998"
"8/10/2014","PGA Championship","T40","1.517",".422","291.3","277.6","307","73.21","26' 6""","8.93","8.93","42","-","-"
"8/3/2014","WGC-Bridgestone Invit'l","65","-2.737","-.384","292.0","285.7","329","42.86","21' 9""","36.36","12.73","118","111.29","73"
"7/20/2014","The Open Championship","T26","-","-","293.6","-","352","60.71","-","-","-","55","-","-"
"7/13/2014","John Deere Classic","1","4.186",".635","303.1","287.0","326","80.36","24' 4""",".00","10.71","26","112.77","62"
"7/6/2014","The Greenbrier Classic","CUT","-.798",".269","289.3","283.9","317","60.71","22' 10""","21.43","10.71","1,998","110.39","1,998"
"6/29/2014","Quicken Loans National","CUT",".021","-.511","292.8","291.6","321","53.57","25' 0""","32.14","3.57","1,998","109.56","1,998"
"6/22/2014","Travelers Championship","T42","1.553",".005","292.6","285.1","332","62.50","16' 11""","12.50","8.93","102","110.88","28"
"6/8/2014","FedEx St. Jude Classic","T6","1.466","1.009","278.0","283.2","328","67.86","19' 1""","21.43","7.14","58","108.72","61"
"6/1/2014","the Memorial Tournament","CUT","-2.895",".212","288.8","288.1","309","71.43","22' 7""","14.29","3.57","1,998","111.04","1,998"
"5/25/2014","Crowne Plaza Invitational","T30","1.685",".579","294.9","283.5","338","50.00","24' 1""","12.50","19.64","89","110.58","62"
"5/18/2014","HP Byron Nelson Champ","T29","1.291",".309","285.0","282.1","323","66.07","21' 4""","16.36","9.09","67","109.44","47"
"5/11/2014","THE PLAYERS Championship","CUT",".184","-1.360","268.3","276.0","314","46.43","21' 2""","14.29","28.57","1,998","108.24","1,998"
"5/4/2014","Wells Fargo Championship","T65","-.412","-.398","295.3","289.8","325","48.21","26' 8""","21.43","14.29","79","109.42","27"
"4/20/2014","RBC Heritage","T7",".617",".224","271.5","262.1","302","62.50","17' 2""","12.50","14.29","95","110.55","39"
"4/6/2014","Shell Houston Open","T58","-.362","-.558","295.6","284.6","319","64.29","28' 8""","14.55","5.45","59","109.43","5"
"3/30/2014","Valero Texas Open","T16","1.752",".178","283.4","278.7","321","62.50","24' 3""","12.50","14.29","69","109.50","97"
"3/23/2014","Arnold Palmer Invt'l","CUT",".111",".608","286.3","275.1","308","82.14","14' 6""","7.14","7.14","1,998","110.37","1,998"
"3/16/2014","Valspar Championship","T25","1.097","-.083","265.8","270.7","322","55.77","24' 7""","25.00","9.62","117","110.31","43"
"3/2/2014","The Honda Classic","T58",".490","-.319","283.6","273.2","316","57.14","21' 7""","12.50","21.43","85","109.29","32"
"2/16/2014","Northern Trust Open","T3",".794",".179","299.0","285.2","322","51.79","23' 4""","19.64","23.21","71","111.87","27"
"2/9/2014","AT&T Pebble Beach","CUT","-1.750","-.214","269.5","262.6","299","65.85","17' 11""","7.14","21.43","1,998","108.08","1,998"
"2/2/2014","Waste Management Phoenix","CUT","-1.005","-.923","298.5","296.8","340","57.14","31' 3""","14.29","10.71","1,998","108.98","1,998"
"1/19/2014","Humana Challenge","T82","-.772",".119","296.6","277.0","328","75.93","41' 2""",".00",".00","43","109.25","49"
"1/12/2014","Sony Open in Hawaii","T32",".703","-.575","291.6","286.3","349","46.43","22' 4""","12.50","35.71","89","110.72","80"
"11/17/2013","OHL Classic at Mayakoba","CUT","-","-","283.0","-","295","71.43","-","-","-","1,998","-","-"
"11/10/2013","The McGladrey Classic","T10",".627","-.400","279.1","274.1","309","64.29","25' 9""","16.07","7.14","82","108.84","63"
"10/20/2013","Shriners Hospitals","T48","-.123","-.237","305.8","298.7","337","58.93","31' 7""","16.07","12.50","64","109.45","57"
"10/13/2013","Frys.com Open","T7","1.322","-.076","295.1","294.8","337","53.57","29' 0""","19.64","8.93","84","110.02","35"
"9/2/2013","Deutsche Bank Champ","CUT","-1.465","-.186","289.0","284.1","312","67.86","18' 10""","3.57","21.43","1,998","110.15","1,998"
"8/25/2013","The Barclays","CUT","-2.247",".134","274.3","275.2","318","71.43","31' 6""","10.71","7.14","1,998","109.37","1,998"
"8/18/2013","Wyndham Championship","T3","1.758",".957","296.1","282.2","361","64.29","14' 2""","10.71","25.00","54","111.40","7"
"8/4/2013","Reno-Tahoe Open","T11","-","-","-","-","-","-","-","-","-","-","-","-"
"7/28/2013","RBC Canadian Open","CUT","-.496",".455","301.5","298.6","351","50.00","24' 4""","17.86","21.43","1,998","112.18","1,998"
"7/21/2013","Sanderson Farms Champ.","T40",".553",".456","291.4","285.0","340","55.36","26' 6""","18.18","14.55","83","110.27","48"
"7/14/2013","John Deere Classic","CUT","-3.513","-1.250","296.0","282.9","327","57.14","27' 11""","3.57","21.43","1,998","110.96","1,998"
"7/7/2013","The Greenbrier Classic","T65",".286",".538","297.6","284.1","336","83.93","20' 8""","8.93","7.14","33","112.15","39"
"6/30/2013","AT&T National","CUT","-1.543",".326","292.5","285.2","330","67.86","20' 7""","3.57","17.86","1,998","110.80","1,998"
"6/23/2013","Travelers Championship","T51",".326",".316","289.5","283.9","345","60.71","26' 3""","27.27","7.27","102","110.59","54"
"6/9/2013","FedEx St. Jude Classic","CUT","-2.971","-.900","280.5","287.1","319","35.71","24' 4""","21.43","35.71","1,998","109.60","1,998"
"6/2/2013","the Memorial Tournament","CUT","-3.032","-1.091","281.3","280.8","338","50.00","25' 6""","21.43","14.29","1,998","109.52","1,998"
"5/19/2013","HP Byron Nelson Champ","T27",".235","1.398","298.6","290.9","362","60.71","31' 9""","18.18","14.55","57","111.18","80"
"5/12/2013","THE PLAYERS Championship","CUT","-2.584","-.598","288.3","282.2","338","42.86","32' 3""","7.14","35.71","1,998","110.75","1,998"
"5/5/2013","Wells Fargo Championship","T10","1.343",".474","271.8","280.3","310","64.29","20' 8""","10.71","16.07","53","110.96","29"
"4/28/2013","Zurich Classic of New Orl","CUT","-1.788",".733","290.3","280.4","325","60.71","15' 1""","17.86","17.86","1,998","111.19","1,998"
"4/21/2013","RBC Heritage","T59","-1.048",".235","284.9","275.5","321","57.14","30' 4""","7.27","16.36","71","111.96","5"
"4/7/2013","Valero Texas Open","T22",".509",".603","291.3","287.2","332","58.93","17' 7""","16.07","12.50","58","110.98","30"
"3/31/2013","Shell Houston Open","CUT","-.048","1.023","290.0","285.9","325","60.71","24' 7""","21.43","10.71","1,998","111.63","1,998"
"3/24/2013","Arnold Palmer Invt'l","CUT","-.761","1.087","277.3","281.1","309","67.86","21' 1""","17.86","7.14","1,998","111.59","1,998"
"3/17/2013","Tampa Bay Championship","T14","1.206","1.037","277.6","277.6","322","63.46","23' 5""","17.31","15.38","55","111.70","15"
"3/10/2013","Puerto Rico Open","T18","-","-","282.3","-","288","60.71","-","-","-","99","-","-"
"3/3/2013","The Honda Classic","CUT","-2.613",".090","280.5","270.7","301","71.43","35' 8""","10.71","10.71","1,998","109.87","1,998"
"2/17/2013","Northern Trust Open","T51","-1.019","-.596","279.3","285.2","343","51.79","29' 10""","18.18","14.55","102","110.81","99"
"2/10/2013","AT&T Pebble Beach","T50","-1.066",".939","284.9","275.2","324","67.27","17' 0""","7.14","14.29","78","108.46","19"
"2/3/2013","Waste Management Phoenix","T32","1.932",".290","291.8","297.8","323","60.71","15' 1""","14.29","16.07","75","110.87","100"
"1/27/2013","Farmers Insurance Open","T44","-.395",".363","281.0","283.6","330","53.57","26' 5""","16.67","19.05","77","109.33","21"
"1/20/2013","Humana Challenge","CUT","-5.412","-1.070","291.3","279.0","307","73.17","9' 8""","7.69","7.69","1,998","112.76","1,998"
"1/13/2013","Sony Open in Hawaii","CUT","-1.589","-.174","304.3","291.3","365","39.29","23' 8""","14.29","42.86","1,998","111.84","1,998"
"11/11/2012","Children's Miracle","T56","-1.527","-.686","288.4","281.2","333","60.71","23' 11""","16.67","11.90","70","108.09","12"
"10/28/2012","(*) CIMB Classic","T10","-","-","-","-","-","-","-","-","-","-","-","-"
